shop_id,date,date_block_num,item_id,item_price,item_cnt_day,revenue
0,2013-01-02,188,2049420,134782.0,228.0,149282.0
0,2013-01-13,0,1181707,78871.0,144.0,90495.0
0,2013-01-14,0,1342532,58494.0,138.0,62599.0
0,2013-01-15,0,1311489,74713.0,153.0,81450.0
0,2013-01-16,0,1383520,40531.0,154.0,53509.0
0,2013-01-17,0,1771076,61140.0,185.0,67057.0
0,2013-01-18,0,1715171,92934.0,191.0,114006.0
0,2013-01-19,0,2324166,109064.0,260.0,137022.0
0,2013-01-20,0,2303592,88991.0,224.0,99165.0
0,2013-01-21,0,2059783,72723.0,188.0,79704.0
0,2013-01-22,0,1914674,59240.0,182.0,67091.0
0,2013-01-23,0,1274299,58195.0,131.0,64690.0
0,2013-01-24,0,1123454,55327.0,115.0,63031.0
0,2013-01-25,0,1808388,60982.0,206.0,70656.0
0,2013-01-26,0,2308228,110933.0,258.0,123533.0
0,2013-01-27,0,1634621,67954.0,178.0,83294.0
0,2013-01-28,0,2044643,77405.0,223.0,86791.0
0,2013-01-29,0,1418063,136867.0,143.0,154894.0
0,2013-01-30,0,1361937,80167.0,151.0,101559.0
0,2013-01-31,0,1620026,95909.0,174.0,102388.0
0,2013-02-02,243,2801961,150339.0,317.0,181792.0
0,2013-02-13,163,1819581,103452.0,188.0,131512.0
0,2013-02-14,141,1516430,85016.0,156.0,90181.0
0,2013-02-15,188,1955145,97071.0,208.0,123036.0
0,2013-02-16,268,2857970,147131.0,365.0,207526.0
0,2013-02-17,180,1758044,101599.0,224.0,116304.0
0,2013-02-18,116,1209601,72680.0,129.0,79380.0
0,2013-02-19,119,1301531,48415.0,135.0,58840.0
0,2013-02-20,170,1704299,106967.0,184.0,112418.0
0,2013-02-21,186,1893438,127981.0,236.0,155727.0
0,2013-02-22,309,3033587,166377.0,409.0,230804.0
0,2013-02-23,350,3301454,226077.0,465.0,329305.0
0,2013-02-24,243,2558100,173506.0,301.0,242683.0
0,2013-02-25,158,1737745,77229.0,172.0,82592.0
0,2013-02-26,139,1491932,71265.0,159.0,80243.0
0,2013-02-27,146,1620832,75260.0,162.0,79232.0
0,2013-02-28,139,1703958,66358.0,147.0,68504.0
0,2013-03-01,0,1892484,91765.0,203.0,110588.0
0,2013-03-02,164,1850424,74352.0,200.0,85582.0
0,2013-04-01,0,2986301,179943.0,352.0,231122.0
0,2013-04-02,104,1159867,46974.0,121.0,55784.0
0,2013-05-01,0,2455929,144302.0,292.0,167500.0
0,2013-05-02,155,1713661,127793.0,173.0,140478.0
0,2013-06-01,0,1769517,125121.0,209.0,140013.0
0,2013-06-02,165,1712886,67641.0,194.0,78853.0
0,2013-07-01,0,1131365,61049.0,132.0,68469.0
0,2013-07-02,121,1284322,99657.0,135.0,105741.0
0,2013-08-01,0,2211397,125565.0,263.0,149838.0
0,2013-08-02,232,2682965,117269.0,287.0,160311.0
0,2013-09-01,0,1551847,83647.0,181.0,94338.0
0,2013-09-02,248,2672219,172706.0,313.0,203751.0
0,2013-10-01,0,1584690,107556.0,184.0,141402.0
0,2013-10-02,166,1823899,118913.0,205.0,145222.0
0,2013-11-01,0,1255261,56329.0,139.0,61170.0
0,2013-11-02,135,1492492,80818.0,162.0,97606.0
0,2013-12-01,0,2051675,90622.0,225.0,99038.0
0,2013-12-02,128,1312063,69902.0,152.0,78269.0
1,2013-01-02,95,1052944,52241.0,105.0,67991.0
1,2013-01-13,0,1007281,36529.0,87.0,37082.0
1,2013-01-14,0,774636,66732.0,88.0,69862.0
1,2013-01-15,0,639188,18488.0,57.0,19979.0
1,2013-01-16,0,885834,25069.0,81.0,25990.0
1,2013-01-17,0,889356,47804.0,102.0,51068.0
1,2013-01-18,0,938129,56092.0,115.0,58723.0
1,2013-01-19,0,1537502,79349.0,154.0,84463.0
1,2013-01-20,0,724215,25787.0,81.0,27789.0
1,2013-01-21,0,1118355,57626.0,112.0,59746.0
1,2013-01-22,0,1033498,32148.0,100.0,37182.0
1,2013-01-23,0,676811,20712.0,60.0,20916.0
1,2013-01-24,0,838688,27967.0,76.0,30033.0
1,2013-01-25,0,858539,46114.0,98.0,52498.0
1,2013-01-26,0,1327770,55063.0,146.0,62181.0
1,2013-01-27,0,959855,48376.0,102.0,52142.0
1,2013-01-28,0,668809,16879.0,61.0,17365.0
1,2013-01-29,0,1213809,64336.0,117.0,64726.0
1,2013-01-30,0,914784,58342.0,103.0,63914.0
1,2013-01-31,0,1121794,57798.0,110.0,59186.0
1,2013-02-02,180,2083794,99967.0,215.0,112638.0
1,2013-02-13,101,1130115,34242.0,106.0,35657.0
1,2013-02-14,89,962197,33790.0,90.0,33804.0
1,2013-02-15,81,954357,30006.0,89.0,32641.0
1,2013-02-16,136,1566004,75415.0,171.0,82276.0
1,2013-02-17,81,803657,30244.0,90.0,32321.0
1,2013-02-18,150,1650468,58392.0,175.0,62884.0
1,2013-02-19,91,910122,53461.0,97.0,54211.0
1,2013-02-20,106,1034535,47391.0,122.0,52442.0
1,2013-02-21,125,1346805,59024.0,142.0,70964.0
1,2013-02-22,186,1753370,166053.0,217.0,182164.0
1,2013-02-23,221,2160450,112043.0,263.0,133713.0
1,2013-02-24,127,1376877,58759.0,143.0,66776.0
1,2013-02-25,98,988103,77656.0,114.0,80750.0
1,2013-02-26,96,1153060,40618.0,100.0,41835.0
1,2013-02-27,73,766160,39306.0,78.0,39481.0
1,2013-02-28,83,865777,35164.0,86.0,36814.0
1,2013-03-01,0,1974439,93332.0,204.0,108409.0
1,2013-03-02,98,969346,36867.0,106.0,39352.0
1,2013-04-01,0,350705,44355.0,39.0,45079.0
1,2013-04-02,55,523807,45257.0,60.0,46568.0
1,2013-05-01,0,1964220,87342.0,200.0,103025.0
1,2013-05-02,33,421577,17274.0,42.0,17400.0
1,2013-06-01,0,1362974,81542.0,143.0,103680.0
1,2013-06-02,66,687533,35076.0,73.0,35876.0
1,2013-07-02,86,988400,48001.0,87.0,48120.0
1,2013-08-01,0,1159798,84267.0,142.0,120205.0
1,2013-08-02,112,1228597,91550.0,125.0,100974.0
1,2013-09-01,0,956885,28022.0,87.0,28491.0
1,2013-09-02,152,1758220,51652.0,175.0,57278.0
1,2013-10-01,0,603303,20265.0,66.0,21153.0
1,2013-10-02,89,1094615,40426.0,103.0,61407.0
1,2013-11-01,0,1041656,45364.0,98.0,46527.0
1,2013-11-02,63,652314,22352.0,66.0,26014.0
1,2013-12-01,0,1246181,53036.0,118.0,55906.0
